participantId,avg_income,avg_expense,avg_net,age,educationLevel,householdSize,haveKids,age_group,household_type
0,8993.64456378253,1215.1226552692476,7778.521908513284,36,HighSchoolOrCollege,3,True,36-45,Size3_Kids
1,7894.734808896623,1409.3009904494436,6485.433818447179,25,HighSchoolOrCollege,3,True,18-25,Size3_Kids
2,6961.933570360301,1224.245641207696,5737.687929152605,35,HighSchoolOrCollege,3,True,26-35,Size3_Kids
3,6729.594119928411,1288.4742890077816,5441.119830920628,21,HighSchoolOrCollege,3,True,18-25,Size3_Kids
4,9005.077968946769,2208.817309369011,6796.260659577758,43,Bachelors,3,True,36-45,Size3_Kids
5,1872.5947160159885,1399.2139621384092,473.3807538775792,32,HighSchoolOrCollege,3,True,26-35,Size3_Kids
6,1891.3161147625474,1551.4399595922184,339.876155170329,26,HighSchoolOrCollege,3,True,26-35,Size3_Kids
7,5951.359889575065,2054.3876713918517,3896.972218183213,27,Bachelors,3,True,26-35,Size3_Kids
8,3618.138771790017,2191.3720732819174,1426.7666985081003,20,Bachelors,3,True,18-25,Size3_Kids
9,12503.258422016524,1349.3352867555698,11153.923135260955,35,Bachelors,3,True,26-35,Size3_Kids
10,6488.973199281237,1249.4144441253993,5239.558755155838,48,HighSchoolOrCollege,3,True,46-55,Size3_Kids
11,6585.291239673338,1371.7376049524987,5213.553634720839,27,HighSchoolOrCollege,3,True,26-35,Size3_Kids
12,6251.607060705322,1409.037712853758,4842.569347851563,34,HighSchoolOrCollege,3,True,26-35,Size3_Kids
13,5717.436597309739,2371.67284551381,3345.763751795929,18,Bachelors,3,True,18-25,Size3_Kids
14,7112.000208148515,2060.3154281865395,5051.684779961975,38,Graduate,3,True,36-45,Size3_Kids
15,6183.09776674901,1251.7570089604153,4931.340757788595,35,HighSchoolOrCollege,3,True,26-35,Size3_Kids
16,9596.212265394823,1227.7794527119565,8368.432812682866,39,Bachelors,3,True,36-45,Size3_Kids
17,17349.276928839794,1293.3542731236207,16055.922655716171,57,Bachelors,3,True,56-60,Size3_Kids
18,17368.976425682555,1375.3608638579387,15993.615561824614,20,Graduate,3,True,18-25,Size3_Kids
19,8917.69271772507,1497.449713072485,7420.243004652585,25,Bachelors,3,True,18-25,Size3_Kids
20,5863.025982060679,1390.3961480327982,4472.62983402788,41,HighSchoolOrCollege,3,True,36-45,Size3_Kids
21,2380.4719329287996,1772.3657159788468,608.1062169499528,35,Low,3,True,26-35,Size3_Kids
22,3393.760544017728,1950.7191540040474,1443.041390013681,25,HighSchoolOrCollege,3,True,18-25,Size3_Kids
23,5102.995791004836,1656.1438638977233,3446.8519271071127,57,Low,3,True,56-60,Size3_Kids
24,7986.213034742317,1289.4065966952235,6696.806438047092,44,Bachelors,3,True,36-45,Size3_Kids
25,5745.675938149866,1303.665683269492,4442.010254880373,38,HighSchoolOrCollege,3,True,36-45,Size3_Kids
26,5386.840159534785,1531.2521143630213,3855.5880451717635,28,HighSchoolOrCollege,3,True,26-35,Size3_Kids
27,6134.196428857645,1348.203096512048,4785.993332345596,45,HighSchoolOrCollege,3,True,36-45,Size3_Kids
28,13447.240098176513,1522.8026199401465,11924.437478236365,54,Bachelors,3,True,46-55,Size3_Kids
29,4496.523399310381,1263.9466768978682,3232.5767224125134,18,Low,3,True,18-25,Size3_Kids
30,2306.8938884381764,2070.2555868915133,236.63830154666326,49,HighSchoolOrCollege,3,True,46-55,Size3_Kids
31,14686.219665268407,1332.3888021019832,13353.830863166424,40,Graduate,3,True,36-45,Size3_Kids
32,5971.563183200822,1195.96957151697,4775.593611683852,33,HighSchoolOrCollege,3,True,26-35,Size3_Kids
33,11928.766049052705,1195.1314784490626,10733.634570603643,21,Bachelors,3,True,18-25,Size3_Kids
34,4220.029987982905,2154.258790077356,2065.771197905549,23,Low,3,True,18-25,Size3_Kids
35,2013.0018553933176,1646.6030659971154,366.39878939620195,20,Low,3,True,18-25,Size3_Kids
36,14460.163630444142,1300.7178368212242,13159.445793622917,41,Graduate,3,True,36-45,Size3_Kids
37,5967.450414102224,1398.9503810091546,4568.500033093072,54,HighSchoolOrCollege,3,True,46-55,Size3_Kids
38,4958.3636771145,1376.676460215417,3581.687216899083,34,Low,3,True,26-35,Size3_Kids
39,3911.4579049038775,1655.256646211275,2256.201258692602,54,Bachelors,3,True,46-55,Size3_Kids
40,2217.501604211028,1651.9183143026528,565.5832899083749,55,Low,3,True,46-55,Size3_Kids
41,2025.3400722250128,1576.4845329207385,448.85553930427454,41,HighSchoolOrCollege,3,True,36-45,Size3_Kids
42,5756.9039813089,1265.100742445142,4491.8032388637575,24,HighSchoolOrCollege,3,True,18-25,Size3_Kids
43,11619.040728916734,1465.0747949198674,10153.965933996866,48,Bachelors,3,True,46-55,Size3_Kids
44,2235.9861417758866,64.15975588734591,2171.8263858885407,39,Low,3,True,36-45,Size3_Kids
45,14266.990566432769,1243.1130582992134,13023.877508133557,50,Graduate,3,True,46-55,Size3_Kids
46,5702.2514313493175,1442.7560398182861,4259.495391531031,47,HighSchoolOrCollege,3,True,46-55,Size3_Kids
47,5290.692776819489,1374.1319282198904,3916.560848599599,58,HighSchoolOrCollege,3,True,56-60,Size3_Kids
48,5149.634397153098,1553.5554122298238,3596.0789849232738,42,HighSchoolOrCollege,3,True,36-45,Size3_Kids
49,14142.115456511774,1228.9546729699937,12913.16078354178,54,Graduate,3,True,46-55,Size3_Kids
50,5084.634237710092,1556.933673593609,3527.700564116482,45,HighSchoolOrCollege,3,True,36-45,Size3_Kids
51,13096.728798950342,1440.1167409034833,11656.612058046858,26,Graduate,3,True,26-35,Size3_Kids
52,2701.028031142834,1943.648764557652,757.3792665851821,39,HighSchoolOrCollege,3,True,36-45,Size3_Kids
53,4308.185001834218,1269.53721278126,3038.647789052958,19,Low,3,True,18-25,Size3_Kids
54,8254.721374387595,2431.870303139241,5822.851071248354,32,Graduate,3,True,26-35,Size3_Kids
55,2063.816029056729,1648.9889734133735,414.82705564335515,37,HighSchoolOrCollege,3,True,36-45,Size3_Kids
56,3536.6185318336443,1946.2661688768676,1590.352362956777,40,Graduate,3,True,36-45,Size3_Kids
57,11241.347955305986,1376.1415458259542,9865.206409480033,56,Graduate,3,True,56-60,Size3_Kids
58,13932.886497589372,1232.1081209344952,12700.778376654876,40,Graduate,3,True,36-45,Size3_Kids
59,11329.734432158266,1303.0258068206683,10026.708625337596,35,Bachelors,3,True,26-35,Size3_Kids
60,4956.138275570603,1601.5227053618296,3354.615570208773,46,HighSchoolOrCollege,3,True,46-55,Size3_Kids
61,4988.709797231049,1478.8925087842376,3509.8172884468127,44,HighSchoolOrCollege,3,True,36-45,Size3_Kids
62,7624.163907132913,1361.6369448008315,6262.526962332081,57,Bachelors,3,True,56-60,Size3_Kids
63,4926.823817298325,1550.210219388654,3376.6135979096707,36,HighSchoolOrCollege,3,True,36-45,Size3_Kids
64,4715.038120383799,1568.5475256098646,3146.490594773934,52,HighSchoolOrCollege,3,True,46-55,Size3_Kids
65,4654.227857480349,1433.9669467125373,3220.2609107678113,23,HighSchoolOrCollege,3,True,18-25,Size3_Kids
66,6537.428419086323,2396.3026263309885,4141.125792755333,51,Bachelors,3,True,46-55,Size3_Kids
67,4644.38228318928,1336.739560588565,3307.642722600716,19,HighSchoolOrCollege,3,True,18-25,Size3_Kids
